737428,106,543,19,50%
737429,136,608,22,40%
737430,150,596,25,20%
737431,148,597,24,80%
737432,178,576,30,90%
737433,153,562,27,20%
737434,142,481,29,50%
737435,157,540,29,10%
737436,150,541,27,70%
737437,130,540,24,10%
737438,137,539,25,40%
737439,138,539,25,60%
737440,142,548,25,90%
737441,143,548,26,10%
737442,151,545,27,70%
737443,151,558,27,10%
737444,154,558,27,60%
737445,149,563,26,50%
737446,173,563,30,70%
737447,165,563,29,30%
737448,176,563,31,30%
737449,180,543,33,10%
737450,175,543,32,20%
737451,172,543,31,70%
737452,183,543,33,70%
737453,175,547,32,0%
737454,179,547,32,70%
737455,175,559,31,30%
737456,189,569,33,20%
737457,200,557,35,90%
737458,208,553,37,60%
737459,187,565,33,10%
737460,190,562,33,80%
737461,190,557,34,10%
737462,195,568,34,30%
737463,206,582,35,40%
737464,194,584,33,20%
737465,179,591,30,30%
737466,203,593,34,20%
737467,217,610,35,60%
737468,217,613,35,40%
737469,235,634,37,10%
737470,232,638,36,40%
737471,227,638,35,60%
737472,242,646,37,50%
737473,246,648,38,0%
737474,266,665,40,0%
737475,280,668,41,90%
737476,298,668,44,60%
737477,298,668,44,60%
737478,283,668,42,40%
737479,286,670,42,70%
737480,276,670,41,20%
737481,290,670,43,30%
737481,295,670,44,0%
737482,312,670,46,60%
737483,316,670,47,20%
737484,304,674,45,10%
737485,321,712,45,10%
737486,307,716,42,90%
737487,320,716,44,70%
737489,338,722,46,80%
737490,347,716,48,50%
737491,386,722,53,50%
737492,394,722,54,60%
737493,388,724,53,60%
737494,405,724,55,90%
737495,433,727,59,60%
737496,418,734,56,90%
737497,439,749,58,60%
737498,454,764,59,40%
737499,445,774,57,50%
737500,482,766,62,90%
737501,501,771,65,0%
737502,529,771,68,60%
737503,526,771,68,20%
737504,530,812,65,30%
737505,575,826,69,60%
737506,617,883,69,90%
737507,637,911,69,90%
737508,670,939,71,40%
737509,691,942,73,40%
737510,694,957,72,50%
737511,729,988,73,80%
737512,748,966,77,40%
737513,792,993,79,80%
737514,811,998,81,30%
737515,849,1013,83,80%
737516,880,1039,84,70%
737517,879,1058,83,10%
737518,903,1112,81,20%
737519,942,1106,85,20%
737520,977,1144,85,40%
737521,987,1132,87,20%
737522,1044,1161,89,90%
737523,1083,1187,91,24%
737524,1106,1239,89,30%
737525,1164,1296,89,80%
737526,1167,1295,90,12%
737527,1183,1303,90,79%
737528,1214,1335,90,94%
737529,1230,1342,91,70%
737530,1240,1355,91,51%
737531,1278,1394,91,68%
737532,1289,1407,91,60%
737533,1291,1409,91,63%
737534,1345,1446,93,2%
737535,1324,1447,91,50%
737536,1356,1455,93,20%
737537,1349,1479,91,21%
737538,1358,1503,90,35%
737539,1356,1533,88,45%
737540,1384,1553,89,12%
737541,1398,1566,89,27%
737541,1426,1586,89,91%
737542,1412,1604,88,3%
737543,1450,1633,88,79%
737544,1446,1621,89,20%
737545,1460,1635,89,30%
737546,1451,1649,87,99%
737547,1473,1671,88,15%
737548,1485,1684,88,18%
737549,1499,1683,89,7%
737550,1515,1703,88,96%
737551,1505,1717,87,65%
737552,1517,1728,87,79%
737553,1514,1742,86,91%
737554,1502,1742,86,22%
737555,1537,1774,86,64%
737556,1496,1774,84,40%
737557,1493,1773,84,20%
737558,1464,1787,81,92%
737559,1461,1786,81,80%
737560,1458,1788,81,54%
737561,1414,1808,78,20%
737562,1365,1813,75,30%
737563,1406,1811,77,60%
737564,1420,1816,78,20%
737565,1403,1818,77,20%
737566,1383,1828,75,70%
737567,1396,1829,76,30%
737568,1362,1824,74,70%
737569,1338,1830,73,11%
737570,1328,1834,72,41%
737571,1334,1857,71,84%
737571,1280,1858,68,89%
737572,1259,1860,67,69%
737573,1241,1858,66,79%
737574,1189,1873,63,48%
737575,1198,1875,63,89%
737576,1190,1872,63,57%
737577,1174,1882,62,38%
737578,1118,1874,59,66%
737579,1123,1875,59,89%
737580,1138,1838,61,92%
737581,1064,1823,58,37%
737582,1064,1823,58,37%
737583,1053,1824,57,73%
737584,1042,1828,57,0%
737585,1006,1822,55,20%
737586,1028,1800,57,10%
737587,986,1800,54,80%
737588,981,1792,54,70%
737589,968,1802,53,70%
737590,991,1806,54,90%
737591,978,1794,54,50%
737592,943,1799,52,42%
737593,936,1779,52,61%
737594,940,1763,53,32%
737595,880,1756,50,11%
737596,857,1753,48,89%
737597,812,1747,46,48%
737598,854,1755,48,70%
737599,838,1730,48,44%
737600,810,1754,46,18%
737601,814,1680,48,45%
737602,809,1673,48,36%
737603,786,1656,47,46%
737604,793,1656,47,89%
737605,808,1666,48,49%
737606,833,1684,49,43%
737607,821,1703,48,20%
737608,785,1700,46,17%
737609,804,1690,47,57%
737610,802,1689,47,48%
737611,806,1689,47,72%
737612,792,1676,47,26%
737613,783,1678,46,66%
737614,786,1678,46,84%
737615,793,1668,47,54%
737616,782,1646,47,51%
737617,790,1644,48,5%
737618,800,1649,48,51%
737619,817,1650,49,52%
737620,818,1650,49,58%
737621,817,1641,49,79%
737622,838,1648,50,85%
737623,843,1648,51,15%
737624,822,1643,50,3%
737625,833,1643,50,70%
737626,831,1645,50,52%
737627,821,1651,49,73%
737628,785,1655,47,43%
737629,831,1645,50,52%
737630,842,1660,50,72%
737631,849,1663,51,5%
737631,831,1654,50,24%
737632,825,1657,49,78%
737633,844,1657,50,93%
737634,806,1656,48,67%
737635,801,1655,48,40%
737636,782,1656,47,22%
737637,801,1651,48,52%
737638,793,1651,48,3%
737639,792,1655,47,85%
737640,767,1666,46,4%
737641,784,1628,48,20%
737642,820,1628,50,37%
737643,757,1623,46,64%
737644,772,1646,46,90%
737645,776,1628,47,66%
737646,762,1621,47,1%
737647,784,1622,48,34%
737648,790,1634,48,35%
737649,790,1628,48,53%
737650,779,1625,47,94%
737651,797,1620,49,20%
737652,822,1621,50,71%
737653,805,1618,49,75%
737654,834,1619,51,51%
737655,806,1621,49,72%
737656,795,1621,49,4%
737657,769,1599,48,9%
737658,812,1613,50,34%
737659,822,1613,50,96%
737660,826,1603,51,53%
737661,840,1611,52,14%
737662,834,1600,52,13%
737663,826,1600,51,63%
737664,831,1582,52,53%
737665,808,1582,51,7%
737666,823,1579,52,12%
737667,820,1579,51,93%
737668,826,1579,52,31%
737669,844,1577,53,51%
737670,838,1569,53,41%
737671,865,1573,54,99%
737672,881,1571,56,8%
737673,904,1574,57,43%
737674,882,1577,55,93%
737675,920,1575,58,41%
737676,932,1595,58,43%
737677,973,1628,59,77%
737678,953,1636,58,25%
737679,987,1663,59,35%
737680,1002,1650,60,73%
737681,1006,1645,61,16%
737682,1035,1654,62,58%
737683,1075,1661,64,72%
737684,1084,1658,65,38%
737685,1099,1674,65,65%
737686,1145,1673,68,44%
737687,1192,1674,71,21%
737688,1220,1680,72,62%
737689,1235,1688,73,16%
737690,1286,1718,74,85%
737691,1288,1721,74,84%
737696,1303,1733,75,19%
737697,1340,1752,76,48%
737698,1362,1752,77,74%
737699,1395,1752,79,62%
737700,1435,1754,81,81%
737701,1481,1765,83,91%
737702,1539,1786,86,17%
737703,1624,1827,88,89%
737704,1688,1840,91,74%
737705,1719,1878,91,53%
737706,1749,1870,93,53%
737707,1743,1887,92,37%
737708,1776,1915,92,74%
737709,1809,1939,93,30%
737710,1818,1939,93,76%
737711,1812,1953,92,78%
737712,1834,1967,93,24%
737713,1862,1978,94,10%
737714,1867,2003,93,21%
737715,1886,2008,93,92%
737716,1867,2003,93,21%
737717,1884,2015,93,50%
737718,1868,2026,92,20%
737719,1879,2023,92,88%
737720,1878,2023,92,83%
737721,1861,2023,91,99%
737722,1825,2011,90,75%
737723,1789,2014,88,83%
737724,1741,2015,86,40%
737725,1681,2017,83,34%
737726,1654,2017,82,0%
737726,1622,2003,80,98%
737727,1580,2000,79,0%
737728,1527,1985,76,93%
737729,1462,1965,74,40%
737730,1436,1947,73,75%
737731,1401,1925,72,78%
737732,1382,1909,72,39%
737733,1351,1885,71,67%
737734,1307,1863,70,16%
737735,1280,1846,69,34%
737736,1232,1841,66,92%
737737,1233,1841,66,97%
737738,1190,1810,65,75%
737739,1167,1811,64,44%
737740,1145,1766,64,84%
737741,1125,1766,63,70%
737742,1097,1744,62,90%
737743,1036,1735,59,71%
737744,1049,1735,60,46%
737745,1004,1724,58,24%
737746,1021,1727,59,12%
737747,1010,1728,58,45%
737748,981,1718,57,10%
737749,955,1706,55,98%
737750,917,1694,54,13%
737751,942,1692,55,67%
737752,941,1678,56,8%
737753,937,1684,56,8%
737756,950,1652,57,51%
737757,915,1629,56,17%
737758,900,1605,56,7%
737759,899,1611,55,80%
737760,877,1600,54,81%
737761,857,1596,53,70%
737762,874,1595,54,80%
737763,860,1593,53,99%
737764,836,1566,53,38%
737765,768,1546,49,68%
737766,794,1517,52,34%
737767,789,1512,52,18%
737768,789,1513,52,15%
737769,773,1515,51,2%
737770,785,1512,51,92%
737771,782,1507,51,89%
737772,762,1484,51,35%
737773,756,1459,51,82%
737774,777,1455,53,40%
737775,765,1452,52,69%
737776,797,1440,55,35%
737777,797,1434,55,58%
737778,795,1429,55,63%
737779,793,1443,54,95%
737780,772,1432,53,91%
737781,789,1434,55,2%
737782,786,1441,54,55%
737783,779,1457,53,47%
737784,788,1458,54,5%
737785,814,1464,55,60%
737786,829,1460,56,78%
737786,860,1461,58,86%
737787,892,1470,60,68%
737788,917,1480,61,96%
737789,956,1479,64,64%
737790,1007,1496,67,31%
737791,1018,1522,66,89%
737792,1051,1554,67,63%
737793,1076,1585,67,89%
